Number of processes;1;2;4;8;16
Parallel efficiency;99.925583;99.378252;97.349953;95.707736;95.151184
Load balance;100.000000;99.760930;98.687584;98.280683;99.248259
Communication efficiency;99.925583;99.616405;98.644580;97.382042;95.871892
Serialization efficiency;100.000000;99.842359;99.203493;98.282015;97.952863
Transfer efficiency;99.925583;99.773690;99.436599;99.084296;97.875538
Computation scalability;100.000000;95.500319;92.390414;81.340933;61.436394
Global efficiency;99.925583;94.906548;89.942024;77.849566;58.457456
IPC scalability;100.000000;99.916598;99.745711;93.982492;82.262861
Instruction scalability;100.000000;96.748633;95.788940;94.145829;91.017467
Frequency scalability;100.000000;98.792129;96.697961;91.930815;82.053509
Speedup;1.000000;1.899545;3.600360;6.232603;9.360158
Average IPC;1.871993;1.870432;1.867233;1.759346;1.539955
Average frequency (GHz);2.069905;2.044904;2.001556;1.902881;1.698430
#
#Runtime (us);21898659.14;11528373.56;6082352.21;3513565.33;2339560.72
#Runtime (ideal);21884758.97;11504370.09;6051059.08;3486349.43;2310335.96
#Useful duration (average);21882362.82;11456696.18;5921167.02;3362753.84;2226119.73
#Useful duration (maximum);21882362.82;11484151.34;5999910.80;3421581.67;2242981.13
#Useful duration (total);21882362.82;22913392.37;23684668.07;26902030.73;35617915.65
#Useful duration (ideal, max);21884758.97;11486234.50;6002862.00;3426454.46;2263040.22
#Useful instructions (total);84790848422.00;87640358419.00;88518412143.00;90063308642.00;93158874793.00
#Useful cycles (total);45294421893.00;46855679955.00;47406198069.00;51191361663.00;60494538119.00
